date,merchant_id,flyer_id,user_id,time_spent_seconds
2018-10-01,3554,2000648,0017345b89958a1d8cae79020dbbf6e2f687124ae8bf937fa6ed729e66a13f91,68
2018-10-01,246,%3Cnull%3G,0017345b89958a1d8cae79020dbbf6e2f687124ae8bf937fa6ed729e66a13f91,141
2018-10-01,2428,2000818,0017345b89958a1d8cae79020dbbf6e2f687124ae8bf937fa6ed729e66a13f91,41
2018-10-01,2608,1994646,0017345b89958a1d8cae79020dbbf6e2f687124ae8bf937fa6ed729e66a13f91,1
2018-10-01,2681,1989605,0017345b89958a1d8cae79020dbbf6e2f687124ae8bf937fa6ed729e66a13f91,1
2018-10-01,2353,2008626,0017345b89958a1d8cae79020dbbf6e2f687124ae8bf937fa6ed729e66a13f91,1
2018-10-01,2268,2016311,0017345b89958a1d8cae79020dbbf6e2f687124ae8bf937fa6ed729e66a13f91,19
2018-10-01,986,1994508,0017345b89958a1d8cae79020dbbf6e2f687124ae8bf937fa6ed729e66a13f91,260
2018-10-01,2366,1983481,0017345b89958a1d8cae79020dbbf6e2f687124ae8bf937fa6ed729e66a13f91,2
2018-10-01,2464,2026295,0017345b89958a1d8cae79020dbbf6e2f687124ae8bf937fa6ed729e66a13f91,2
2018-10-01,2148,2031166,0017345b89958a1d8cae79020dbbf6e2f687124ae8bf937fa6ed729e66a13f91,1
2018-10-01,2053,1996661,0017345b89958a1d8cae79020dbbf6e2f687124ae8bf937fa6ed729e66a13f91,1
2018-10-01,3669,1990201,0017345b89958a1d8cae79020dbbf6e2f687124ae8bf937fa6ed729e66a13f91,10
2018-10-01,4663,1995030,0017345b89958a1d8cae79020dbbf6e2f687124ae8bf937fa6ed729e66a13f91,13
2018-10-01,3436,1985618,0017345b89958a1d8cae79020dbbf6e2f687124ae8bf937fa6ed729e66a13f91,1
2018-10-01,2280,2005529,0017345b89958a1d8cae79020dbbf6e2f687124ae8bf937fa6ed729e66a13f91,32
2018-10-01,2282,2009325,0017345b89958a1d8cae79020dbbf6e2f687124ae8bf937fa6ed729e66a13f91,297
2018-10-01,2268,2016316,0017345b89958a1d8cae79020dbbf6e2f687124ae8bf937fa6ed729e66a13f91,260
2018-10-01,2284,2026010,0017345b89958a1d8cae79020dbbf6e2f687124ae8bf937fa6ed729e66a13f91,61
2018-10-01,5192,2022625,0017345b89958a1d8cae79020dbbf6e2f687124ae8bf937fa6ed729e66a13f91,285
2018-10-01,2354,2006609,002c17c9db976a1cad3516033b5023c5e11eff08fdbcb151bfa2d3c1b2250e27,561
2018-10-01,2609,2016436,002c17c9db976a1cad3516033b5023c5e11eff08fdbcb151bfa2d3c1b2250e27,11
2018-10-01,2230,2020003,00a52eb26d5b84881fea69429e91d2e7e7cb1004db83f867a1a38214da5def41,8
2018-10-01,2051,1986366,00d6164ad0d97a07a8ff2fbc6e10352736e4a8c02be283731a20cb261eea4c46,8
2018-10-01,245,1998423,00d6164ad0d97a07a8ff2fbc6e10352736e4a8c02be283731a20cb261eea4c46,217
2018-10-01,819,1981131,00d6164ad0d97a07a8ff2fbc6e10352736e4a8c02be283731a20cb261eea4c46,118
2018-10-01,2268,2016311,00f4a877b16a98a2029279f8be94605978ef71e42ba65b1aed39f193a406f1e1,208
2018-10-01,2345,2004908,00f4a877b16a98a2029279f8be94605978ef71e42ba65b1aed39f193a406f1e1,32
2018-10-01,2681,1989605,015651b9387e4526d8b34c69bb3c254a22b77ea8afd15c29b88d33f5df10c4d3,25
2018-10-01,2066,2009585,015651b9387e4526d8b34c69bb3c254a22b77ea8afd15c29b88d33f5df10c4d3,425
2018-10-01,2266,1985386,015651b9387e4526d8b34c69bb3c254a22b77ea8afd15c29b88d33f5df10c4d3,228
2018-10-01,1391,2025868,01ad3cb18ee96d64ac61c82cc40968f0ffc4e39b9c44803289b0f20106b8a895,730
2018-10-01,3561,2005365,01ca5536abc5e0992c8e12ab57e93f567cb6608c6ebc1f403891b78a5fe75459,52
